Interessado;UF;Tipo de interessado;Tipo de operação;Finalidade;Tipo de credor;Credor;Moeda;Valor;Número do Processo/PVL;Código IBGE;Status;Data
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Caixa Econômica Federal;Real;300.000,00;00000.000000/0021-94;3100104;Devolvido;19/08/2009
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Caixa Econômica Federal;Real;172.700,00;17944.000104/2008-22;3100104;Arquivado;17/04/2008
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Caixa Econômica Federal;Real;300.000,00;17944.000953/2009-67;3100104;Deferido;20/11/2009
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Caixa Econômica Federal;Real;187.200,00;17944.001037/2009-44;3100104;Deferido;20/11/2009
Abadia dos Dourados;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000,00;17944.001324/2013-31;3100104;Deferido;06/11/2013
Abaeté;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;950.000,00;17944.001370/2013-30;3100203;Deferido;12/11/2013
Abaeté;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;825.000,00;17944.002020/2006-61;3100203;Deferido;18/06/2007
Abaíra;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;700.000,00;17944.000640/2011-23;2900108;Deferido;20/06/2011
Abaíra;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;55.000,00;17944.000688/2010-51;2900108;Deferido;21/06/2010
Abaíra;BA;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;299.450,00;17944.001207/2008-18;2900108;Arquivado;26/08/2008
Abaíra;BA;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;340.000,00;19407.000022/2002-03;2900108;Deferido;08/07/2002
Abaíra;BA;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Agência de Fomento do Estado da Bahia S/A;Real;160.000,00;19407.000025/2002-39;2900108;Deferido;29/07/2002
Abatiá;PR;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco do Brasil S/A;Real;130.392,00;19406.000015/2007-18;4100103;Deferido;09/04/2007
Abatiá;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;40.000,00;19406.000266/2007-01;4100103;Deferido;27/07/2007
Abatiá;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;515.300,00;19406.000278/2007-27;4100103;Deferido;27/07/2007
Abatiá;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;280.000,00;17944.000787/2015-47;4100103;Deferido;14/09/2015
Abatiá;PR;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A;Real;1.100.000,00;17944.000786/2015-01;4100103;Deferido;14/09/2015
Abdon Batista;SC;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;429.760,00;00000.000000/0081-48;4200051;Devolvido;11/01/2012
Abdon Batista;SC;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.000.000,00;17944.000024/2015-04;4200051;Deferido;30/03/2015
Abdon Batista;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;491.330,00;17944.000601/2012-15;4200051;Deferido;29/05/2012
Abdon Batista;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.000.000,00;17944.000694/2013-51;4200051;Deferido;09/08/2013
Abdon Batista;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;300.000,00;19406.000039/2009-39;4200051;Deferido;29/06/2009
Abelardo Luz;SC;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.880.000,00;17944.001366/2011-18;4200101;Deferido;10/11/2011
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.700.000,00;17944.001391/2011-93;4200101;Deferido;10/11/2011
Abelardo Luz;SC;Município;Operação Contratual Interna;PROUCA;Instituição Financeira Nacional;Caixa Econômica Federal;Real;395.787,00;17944.001791/2011-07;4200101;Deferido;29/03/2012
Abelardo Luz;SC;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;628.370,00;19406.000041/2008-27;4200101;Deferido;11/03/2008
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.800.000,00;19406.000119/2006-41;4200101;Deferido;30/06/2006
Abelardo Luz;SC;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;1.400.000,00;19406.000134/2009-32;4200101;Deferido;16/11/2009
Abelardo Luz;SC;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.250.000,00;19406.000178/2009-62;4200101;Deferido;30/06/2010
Abelardo Luz;SC;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Agência de Fomento do Estado de Santa Catarina S/A;Real;2.000.000,00;17944.000664/2015-14;4200101;Pendente de correções ou ajustes;16/09/2015
Abre Campo;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;820.000,00;17944.000123/2014-05;3100302;Deferido;25/09/2014
Abre Campo;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;650.000,00;17944.000124/2014-41;3100302;Deferido;05/06/2014
Abre Campo;MG;Município;Operação Contratual Interna;Caminho da Escola 4;Instituição Financeira Nacional;Banco do Brasil S/A;Real;518.100,00;17944.001603/2008-37;3100302;Arquivado;15/09/2008
Abre Campo;MG;Município;Operação Contratual Interna;Provias 2010;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;820.000,00;17944.001842/2011-92;3100302;Arquivado por decurso de prazo;25/01/2013
Abreu e Lima;PE;Município;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;4.626.608,00;17944.000222/2012-17;2600054;Arquivado por decurso de prazo;16/01/2013
Abreu e Lima;PE;Município;Operação Contratual Interna;Provias 2012;Instituição Financeira Nacional;Banco do Nordeste do Brasil S/A;Real;3.000.000,00;17944.000866/2013-96;2600054;Arquivado por decurso de prazo;04/08/2015
Acaiaca;MG;Município;Operação Contratual Interna;Saneamento básico;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;280.000,00;17944.000250/2012-34;3100401;Arquivado por decurso de prazo;25/10/2012
Acaiaca;MG;Município;Operação Contratual Interna;Infraestrutura;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;600.000,00;17944.000251/2012-89;3100401;Arquivado por decurso de prazo;25/10/2012
Acaiaca;MG;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;714.000,00;17944.000789/2011-11;3100401;Deferido;16/01/2012
Acaiaca;MG;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;314.150,00;17944.000805/2011-67;3100401;Deferido;15/08/2011
Açailândia;MA;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;555.765,00;17944.000342/2008-38;2100055;Arquivado;03/04/2008
Açailândia;MA;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.650.000,00;17944.000969/2007-16;2100055;Arquivado;05/10/2007
Açailândia;MA;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;19.790.113,26;17944.001229/2011-75;2100055;Deferido;25/11/2011
Açailândia;MA;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;5.300.400,00;17944.001847/2011-15;2100055;Arquivado por decurso de prazo;06/02/2013
Acaraú;CE;Município;Operação Contratual Interna;PNAFM;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.908.000,00;17944.000388/2008-57;2300200;Arquivado;10/09/2008
Acari;RN;Município;Operação Contratual Interna;Caminho da Escola;Instituição Financeira Nacional;Banco do Brasil S/A;Real;366.840,00;17944.000855/2012-25;2400109;Deferido;28/06/2012
Acari;RN;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;300.000,00;17944.000860/2008-51;2400109;Arquivado;29/08/2008
Aceguá;RS;Município;Operação Contratual Interna;Caminho da Escola 2;Instituição Financeira Nacional;Banco do Brasil S/A;Real;456.000,00;17944.000506/2008-27;4300034;Arquivado;31/03/2009
Aceguá;RS;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;300.000,00;19406.000018/2002-47;4300034;Deferido;15/05/2002
Aceguá;RS;Município;Operação Contratual Interna;Provias;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul S/A;Real;260.000,00;19406.000724/2006-12;4300034;Deferido;22/12/2006
Acopiara;CE;Município;Operação Contratual Interna;Caminho da Escola 2009 A;Instituição Financeira Nacional;Banco do Brasil S/A;Real;923.000,00;00000.000000/0022-77;2300309;Devolvido;22/09/2009
Acopiara;CE;Município;Operação Contratual Interna;Caminho da Escola 2010;Instituição Financeira Nacional;Banco do Brasil S/A;Real;881.720,00;17944.000747/2012-52;2300309;Deferido;18/06/2012
Acopiara;CE;Município;Operação Contratual Interna;Provias 2009;Instituição Financeira Nacional;Banco do Brasil S/A;Real;1.100.000,00;17944.000893/2009-82;2300309;Deferido;21/05/2012
Acopiara;CE;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualificação de Vias;Instituição Financeira Nacional;Caixa Econômica Federal;Real;1.622.765,16;17944.001029/2011-12;2300309;Deferido;13/10/2011
Acopiara;CE;Município;Operação Contratual Interna;PMAT;Instituição Financeira Nacional;Banco do Brasil S/A;Real;847.180,00;17944.001712/2006-92;2300309;Deferido;05/03/2007
Acre;AC;Estado;Operação Contratual Interna;Desenvolvimento sustentável;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico e Social;Real;39.980.000,00;17944.000164/2002-50;12;Deferido;30/05/2002
